id,date,slug,status,url,backlink_rows,ref_domains,gsc_clicks,gsc_impressions,decision,reason
146222,2022-11-25T13:51:49,binance-invests-2-billion-crypto-industry,publish,https://coincu.com/binance-invests-2-billion-crypto-industry,0,0,0,0,draft_now,no_backlink_no_gsc_top1000_older_30d
146224,2022-11-25T13:40:25,world-cup-crypto-scams-are-increasing,publish,https://coincu.com/world-cup-crypto-scams-are-increasing,0,0,0,0,draft_now,no_backlink_no_gsc_top1000_older_30d
145961,2022-11-25T12:11:46,proximity-labs-funds-10-million-for-near,publish,https://coincu.com/proximity-labs-funds-10-million-for-near,0,0,0,0,draft_now,no_backlink_no_gsc_top1000_older_30d
146021,2022-11-25T12:11:24,solana-network-facts-relate-to-ftx-collapse,publish,https://coincu.com/solana-network-facts-relate-to-ftx-collapse,0,0,0,0,draft_now,no_backlink_no_gsc_top1000_older_30d
146089,2022-11-25T12:11:05,poloniex-merges-with-huobi-exchange,publish,https://coincu.com/poloniex-merges-with-huobi-exchange,0,0,0,0,draft_now,no_backlink_no_gsc_top1000_older_30d
146170,2022-11-25T11:08:57,pancakeswap-launches-smart-router,publish,https://coincu.com/pancakeswap-launches-smart-router,0,0,0,0,draft_now,no_backlink_no_gsc_top1000_older_30d
146168,2022-11-25T10:56:57,gmx-integrates-with-chainge-finance,publish,https://coincu.com/gmx-integrates-with-chainge-finance,0,0,0,0,draft_now,no_backlink_no_gsc_top1000_older_30d
146121,2022-11-25T10:26:31,near-wallet-to-continue-developed,publish,https://coincu.com/near-wallet-to-continue-developed,0,0,0,0,draft_now,no_backlink_no_gsc_top1000_older_30d
146118,2022-11-25T10:05:08,vesta-finance-establishes-emergency-reserve,publish,https://coincu.com/vesta-finance-establishes-emergency-reserve,0,0,0,0,draft_now,no_backlink_no_gsc_top1000_older_30d
146105,2022-11-25T08:55:09,uzbekistan-allows-crypto-companies,publish,https://coincu.com/uzbekistan-allows-crypto-companies,0,0,0,0,draft_now,no_backlink_no_gsc_top1000_older_30d
146099,2022-11-25T07:32:45,cz-rationalizes-bnb-in-binance-safu-funds,publish,https://coincu.com/cz-rationalizes-bnb-in-binance-safu-funds,0,0,0,0,draft_now,no_backlink_no_gsc_top1000_older_30d
146063,2022-11-25T07:08:44,polkadot-protocol-t3rn-raised-6-5-million,publish,https://coincu.com/polkadot-protocol-t3rn-raised-6-5-million,0,0,0,0,draft_now,no_backlink_no_gsc_top1000_older_30d
146034,2022-11-25T06:58:43,ardana-come-to-a-halt,publish,https://coincu.com/ardana-come-to-a-halt,0,0,0,0,draft_now,no_backlink_no_gsc_top1000_older_30d
146061,2022-11-25T06:37:35,starkware-has-released-cairo-1-0,publish,https://coincu.com/starkware-has-released-cairo-1-0,0,0,0,0,draft_now,no_backlink_no_gsc_top1000_older_30d
146032,2022-11-25T06:29:17,whale-wallet-vitalik-buterin-transfer-eth,publish,https://coincu.com/whale-wallet-vitalik-buterin-transfer-eth,0,0,0,0,draft_now,no_backlink_no_gsc_top1000_older_30d
146059,2022-11-25T06:20:15,bitcoin-uk-police-arrested-100-suspects,publish,https://coincu.com/bitcoin-uk-police-arrested-100-suspects,0,0,0,0,draft_now,no_backlink_no_gsc_top1000_older_30d
146029,2022-11-25T06:03:06,crypto-law-firm-hodl-law-pllc-sues-sec,publish,https://coincu.com/crypto-law-firm-hodl-law-pllc-sues-sec,0,0,0,0,draft_now,no_backlink_no_gsc_top1000_older_30d
146057,2022-11-25T05:59:25,blockchain-games-completed-150-mil-finance,publish,https://coincu.com/blockchain-games-completed-150-mil-finance,0,0,0,0,draft_now,no_backlink_no_gsc_top1000_older_30d
146024,2022-11-25T04:44:50,bybit-announces-100-million-fund,publish,https://coincu.com/bybit-announces-100-million-fund,0,0,0,0,draft_now,no_backlink_no_gsc_top1000_older_30d
146039,2022-11-25T04:19:08,matrixport-raise-100mat-1-5-b-valuation,publish,https://coincu.com/matrixport-raise-100mat-1-5-b-valuation,0,0,0,0,draft_now,no_backlink_no_gsc_top1000_older_30d
146022,2022-11-25T04:05:16,bitcoin-is-not-a-security,publish,https://coincu.com/bitcoin-is-not-a-security,0,0,0,0,draft_now,no_backlink_no_gsc_top1000_older_30d
146014,2022-11-25T02:20:04,consensys-explanation-new-privacy-policy,publish,https://coincu.com/consensys-explanation-new-privacy-policy,0,0,0,0,draft_now,no_backlink_no_gsc_top1000_older_30d
145981,2022-11-24T17:14:51,poloniex-suspends-supporting-bep20-network,publish,https://coincu.com/poloniex-suspends-supporting-bep20-network,0,0,0,0,draft_now,no_backlink_no_gsc_top1000_older_30d
144943,2022-11-24T16:54:26,top-10-defi-projects-by-social-engagements,publish,https://coincu.com/top-10-defi-projects-by-social-engagements,0,0,0,0,draft_now,no_backlink_no_gsc_top1000_older_30d
