source_url,old_link,suggested_new_link,old_link_status_code,reason,fix_owner,occurrences,link_positions,link_origins,sample_anchors,path_types,sample_link_paths
https://coincu.com/aave-integrates-cow-protocol/,https://coincu.com/analysis/ethereum-showing-strength-new-ath-run/,https://coincu.com/ethereum-showing-strength-new-ath-run/,301,old_analysis_article_link,editor,2,Content,HTML,2.75% rise over the past 7 days,Absolute,//body/div[@id='wrapper']/main/div/div/div[2]/article/div/div/div[2]/div[1]/p[4]/strong/a | //body/div[@id='wrapper']/main/div/div/div[2]/article/div/div/div[2]/div[1]/p[7]/strong/a
https://coincu.com/avalanche-contracts-triple-in-a-year/,https://coincu.com/news/scaramucci-joins-avalanche-tokenization/,https://coincu.com/scaramucci-joins-avalanche-tokenization/,301,old_news_article_link,editor,2,Content,HTML,growth | long-term bullish outlook,Absolute,//body/div[@id='wrapper']/main/div/div/div[2]/article/div/div/div[2]/div[1]/p[@class='wp-block-paragraph'][2]/a | //body/div[@id='wrapper']/main/div/div/div[2]/article/div/div/div[2]/div[1]/p[@class='wp-block-paragraph'][3]/a
https://coincu.com/avax-surges-45-is-a-280-to-126-next/,https://coincu.com/analysis/avax-bubble-map-is-a-new-bull-wave/,,404,old_analysis_article_link,editor,2,Content,HTML,momentum builds across | sentiment,Absolute,//body/div[@id='wrapper']/main/div/div/div[2]/article/div/div/div[2]/div[1]/p[@class='wp-block-paragraph'][3]/a | //body/div[@id='wrapper']/main/div/div/div[2]/article/div/div/div[2]/div[1]/p[@class='wp-block-paragraph'][9]/a
https://coincu.com/binance-japan-paypay-crypto-partnership/,https://coincu.com/news/sec-etf-filing-withdrawals/,https://coincu.com/sec-etf-filing-withdrawals/,301,old_news_article_link,editor,2,Content,HTML,foresees this partnership solidifying Japan’s stance,Absolute,//body/div[@id='wrapper']/main/div/div/div[2]/article/div/div/div[2]/div[1]/p[5]/strong/a | //body/div[@id='wrapper']/main/div/div/div[2]/article/div/div/div[2]/div[1]/p[8]/strong/a
https://coincu.com/bitcoin-falls-market-cautious/,https://coincu.com/markets/bitcoin-drop-below-100k-concerns/,https://coincu.com/bitcoin-drop-below-100k-concerns/,301,old_markets_article_link,editor,2,Content,HTML,Bitcoin (BTC),Absolute,//body/div[@id='wrapper']/main/div/div/div[2]/article/div/div/div[2]/div[1]/p[4]/strong/a | //body/div[@id='wrapper']/main/div/div/div[2]/article/div/div/div[2]/div[1]/p[7]/strong/a
https://coincu.com/bitcoin-price-support-planb-views/,https://coincu.com/markets/crypto-traders-fake-pump-decline/,https://coincu.com/crypto-traders-fake-pump-decline/,301,old_markets_article_link,editor,2,Content,HTML,Coincu research team,Absolute,//body/div[@id='wrapper']/main/div/div/div[2]/article/div/div/div[2]/div[1]/p[4]/strong/a | //body/div[@id='wrapper']/main/div/div/div[2]/article/div/div/div[2]/div[1]/p[7]/strong/a
https://coincu.com/bitmine-ethereum-staking-update-2026/,https://coincu.com/markets/bitmine-buys-70-m-in-eth-as-firm-aims-5/,https://coincu.com/bitmine-buys-70-m-in-eth-as-firm-aims-5/,301,old_markets_article_link,editor,2,Content,HTML,acquire 5% of Ethereum’s total supply | enhance its Treasury division,Absolute,//body/div[@id='wrapper']/main/div/div/div[2]/article/div/div/div[2]/div[1]/a | //body/div[@id='wrapper']/main/div/div/div[2]/article/div/div/div[2]/div[1]/strong/a
https://coincu.com/btc-spot-volumes-halve-as-cex-trading/,https://coincu.com/markets/crypto-market-weekly-sep-8-sep-14-altcoins-shine-as-bitcoin-holds-steady/,https://coincu.com/crypto-market-weekly-sep-8-sep-14-altcoins-shine-as-bitcoin-holds-steady/,301,old_markets_article_link,editor,2,Content,HTML,Bitcoin’s price remained steady | price,Absolute,//body/div[@id='wrapper']/main/div/div/div[2]/article/div/div/div[2]/div[1]/p[@class='wp-block-paragraph'][2]/a | //body/div[@id='wrapper']/main/div/div/div[2]/article/div/div/div[2]/div[1]/p[@class='wp-block-paragraph'][7]/a
https://coincu.com/can-solana-break-220/,https://coincu.com/analysis/solana-dex-surpasses-750m-addresses/,https://coincu.com/solana-dex-surpasses-750m-addresses/,301,old_analysis_article_link,editor,2,Content,HTML,building a bullish structure | rebound,Absolute,//body/div[@id='wrapper']/main/div/div/div[2]/article/div/div/div[2]/div[1]/p[@class='wp-block-paragraph'][11]/a[1] | //body/div[@id='wrapper']/main/div/div/div[2]/article/div/div/div[2]/div[1]/p[@class='wp-block-paragraph'][3]/a
https://coincu.com/chainlink-near-25-as-golden-cross-and/,https://coincu.com/analysis/whale-moves-31-15m-in-link-as-chainlink-hits-26-for-first-time-in-7-months/,https://coincu.com/whale-moves-31-15m-in-link-as-chainlink-hits-26-for-first-time-in-7-months/,301,old_analysis_article_link,editor,2,Content,HTML,LINK | whale transactions,Absolute,//body/div[@id='wrapper']/main/div/div/div[2]/article/div/div/div[2]/div[1]/p[@class='wp-block-paragraph'][3]/a | //body/div[@id='wrapper']/main/div/div/div[2]/article/div/div/div[2]/div[1]/p[@class='wp-block-paragraph'][8]/a
