source_url,source_type,source_id,source_post_status,candidate_link_rows,matched_link_rows,replaced_occurrences,updated_live,result_status,note
https://coincu.com/mastercard-partners-bitoasis/,posts,136914,publish,3,0,0,no,no_match_in_raw,No candidate old URLs found in current raw content
https://coincu.com/top-cryptos-to-invest-in-february-2025-qubetics-xrp-and-algorand-show-the-way/,posts,323721,publish,3,0,0,no,no_match_in_raw,No candidate old URLs found in current raw content
https://coincu.com/weekly-top-crypto-news-june-12-june-18/,posts,196022,publish,3,0,0,no,no_match_in_raw,No candidate old URLs found in current raw content
https://coincu.com/coinspaid-battles-hackers-in-37m-crypto-attack/,,,,3,0,0,no,missing_post_id,Could not resolve source URL to posts/pages via REST
https://coincu.com/atomic-wallet-0-1-of-users-affected/,posts,197061,publish,3,0,0,no,no_match_in_raw,No candidate old URLs found in current raw content
https://coincu.com/fbi-recovers-40-million-in-stolen-bitcoins/,posts,212767,publish,3,0,0,no,no_match_in_raw,No candidate old URLs found in current raw content
https://coincu.com/estonian-100-million-atomic-wallet/,posts,195196,publish,3,0,0,no,no_match_in_raw,No candidate old URLs found in current raw content
https://coincu.com/lazarus-group-supposed-behind-hacks/,,,,3,0,0,no,missing_post_id,Could not resolve source URL to posts/pages via REST
https://coincu.com/north-korean-hackers-linked-atomic-wallet/,posts,195462,publish,3,0,0,no,no_match_in_raw,No candidate old URLs found in current raw content
https://coincu.com/atomic-wallet-hack-more-complicated/,posts,194945,publish,3,0,0,no,no_match_in_raw,No candidate old URLs found in current raw content
https://coincu.com/north-korean-hackers-funds-crypto/,posts,154713,publish,3,0,0,no,no_match_in_raw,No candidate old URLs found in current raw content
https://coincu.com/north-koreas-cyber-theft-illegal-funds-funneled/,posts,206540,publish,3,0,0,no,no_match_in_raw,No candidate old URLs found in current raw content
https://coincu.com/north-korean-hackers-steal-millions-crypto/,posts,156154,publish,3,0,0,no,no_match_in_raw,No candidate old URLs found in current raw content
https://coincu.com/gd-the-new-nft-collection-with-13444-pieces/,,,,3,0,0,no,missing_post_id,Could not resolve source URL to posts/pages via REST
