post_id,post_name,url,api_delete_http_status,api_delete_result,api_note,public_status_after_delete,final_verdict
298869,best-new-meme-coins-to-invest-in-for-the-short-term-btfd-coin-offers-50-off-its-presale-as-pudgy-penguins-and-spx6900-go-up,https://coincu.com/best-new-meme-coins-to-invest-in-for-the-short-term-btfd-coin-offers-50-off-its-presale-as-pudgy-penguins-and-spx6900-go-up/,200,deleted,,404,removed_public
298866,top-new-meme-coins-to-invest-in-now-btfd-coins-insane-50-presale-discount-memecoins-leap-and-baby-doges-success,https://coincu.com/top-new-meme-coins-to-invest-in-now-btfd-coins-insane-50-presale-discount-memecoins-leap-and-baby-doges-success/,200,deleted,,404,removed_public
298854,qubetics-presale-0-037-top-altcoin-to-join-as-polygon-algorand-surge,https://coincu.com/qubetics-presale-0-037-top-altcoin-to-join-as-polygon-algorand-surge/,200,deleted,,404,removed_public
298849,top-new-meme-coin-presales-to-invest-in-today-btfd-coins-50-discount-shocks-market,https://coincu.com/top-new-meme-coin-presales-to-invest-in-today-btfd-coins-50-discount-shocks-market/,200,deleted,,404,removed_public
298832,why-investing-in-qubetics-could-be-your-second-chance-after-missing-xrps-meteoric-rise,https://coincu.com/why-investing-in-qubetics-could-be-your-second-chance-after-missing-xrps-meteoric-rise/,200,deleted,,404,removed_public
298812,best-new-meme-coins-to-join-today-btfd-presale-drops-prices-by-50-as-bonks-token-burn-fires-up-and-shiba-inu-expands-ecosystem,https://coincu.com/best-new-meme-coins-to-join-today-btfd-presale-drops-prices-by-50-as-bonks-token-burn-fires-up-and-shiba-inu-expands-ecosystem/,200,deleted,,404,removed_public
298679,qubetics-x-swft-blockchain-best-crypto-presale-solana-and-fantom,https://coincu.com/qubetics-x-swft-blockchain-best-crypto-presale-solana-and-fantom/,200,deleted,,404,removed_public
298729,wish-youd-bought-bonk-at-the-start-now-grab-a-50-discount-with-this-top-trending-meme-coin-presale-before-its-too-late,https://coincu.com/wish-youd-bought-bonk-at-the-start-now-grab-a-50-discount-with-this-top-trending-meme-coin-presale-before-its-too-late/,200,deleted,,404,removed_public
298634,6430-potential-gains-in-web3bay-presale-updates-on-solana-chainlink,https://coincu.com/6430-potential-gains-in-web3bay-presale-updates-on-solana-chainlink/,200,deleted,,404,removed_public
298618,web3bay-presale-turn-100-into-6333-invest-in-the-future-of-e-commerce,https://coincu.com/web3bay-presale-turn-100-into-6333-invest-in-the-future-of-e-commerce/,200,deleted,,404,removed_public
298696,missed-polygon-this-trending-presale-could-be-the-best-foot-forward-today,https://coincu.com/missed-polygon-this-trending-presale-could-be-the-best-foot-forward-today/,200,deleted,,404,removed_public
298685,qubetics-crosses-374m-tokens-sold-as-avalanche-surges-with-upgrades-and-polkadot-eyes-bullish-breakout,https://coincu.com/qubetics-crosses-374m-tokens-sold-as-avalanche-surges-with-upgrades-and-polkadot-eyes-bullish-breakout/,200,deleted,,404,removed_public
298549,qubetics-presale-jumps-10-weekly-best-altcoin-presale-2025,https://coincu.com/qubetics-presale-jumps-10-weekly-best-altcoin-presale-2025/,200,deleted,,404,removed_public
298412,bdag-leads-in-crypto-mining-as-apt-nears-30-aave-grows,https://coincu.com/bdag-leads-in-crypto-mining-as-apt-nears-30-aave-grows/,200,deleted,,404,removed_public
298446,best-meme-coin-presales-to-buy-this-week-btfd-offers-festive-50-bonus-while-neiro-and-notcoin-ride-the-market-waves,https://coincu.com/best-meme-coin-presales-to-buy-this-week-btfd-offers-festive-50-bonus-while-neiro-and-notcoin-ride-the-market-waves/,200,deleted,,404,removed_public
