post_id,post_name,url,issue_types,gsc_clicks,gsc_impressions,backlinks,ref_domains,h2_count,anchor_count,promo_pattern,wire_style,claim_check_style,writing_qc_verdict,suggested_action,why,sample_1,sample_2,sample_3
178764,sui-network-airdrop,https://coincu.com/sui-network-airdrop/,visible_raw_url_in_text,0,0,0,0,3,9,yes,no,no,FAIL,delete_candidate_high,link_citation_format_fail|promotional_or_money_page_pattern|no_local_gsc_backlink_signal,"ter to find out when and if another testnet wave is planned. Mint Sui Capys NFT Connect your Sui wallet at https://capy.art/ . Next, click &#8220;My Collection&#8221; and then &#8220;Capys.&#8221; Choose &#8220;Get a free Capy&#8221; and then click &#8220;Approve&#8221; on the Sui Wallet. You can only m",,
178631,metamask-support-nft-view,https://coincu.com/metamask-support-nft-view/,visible_raw_url_in_text,0,0,0,0,0,5,yes,no,no,FAIL,delete_candidate_high,link_citation_format_fail|promotional_or_money_page_pattern|no_local_gsc_backlink_signal,nvestment advice. We encourage you to do your own research before investing. Join us to keep track of news:&nbsp; https://linktr.ee/coincu Foxy Coincu &nbsp; News ,,
178540,will-dogecoin-become-currency-of-twitter,https://coincu.com/will-dogecoin-become-currency-of-twitter/,visible_raw_url_in_text,0,0,0,0,0,5,yes,no,no,FAIL,delete_candidate_high,link_citation_format_fail|promotional_or_money_page_pattern|no_local_gsc_backlink_signal,nvestment advice. We encourage you to do your own research before investing. Join us to keep track of news:&nbsp; https://linktr.ee/coincu Thana Coincu &nbsp; News ,,
178519,sei-network-to-launch-sunken-treasure-nft,https://coincu.com/sei-network-to-launch-sunken-treasure-nft/,visible_raw_url_in_text,0,0,0,0,0,5,yes,no,no,FAIL,delete_candidate_high,link_citation_format_fail|promotional_or_money_page_pattern|no_local_gsc_backlink_signal,"Sei Sunken Treasure campaign has been the Sei’s biggest NFT collection yet with over 600k NFTs minted since March 15th. https://t.co/GFonlPGup4 &mdash; Sei ???? (@SeiNetwork) April 3, 2023 Sei Sunken Treasure NFT is a Sei Labs-created event. To give NFT to other users, participants must complete 25 transactio",,
178497,smartmoneys-with-100-win-rate-identified,https://coincu.com/smartmoneys-with-100-win-rate-identified/,visible_raw_url_in_text,0,0,0,0,0,11,yes,no,no,FAIL,delete_candidate_high,link_citation_format_fail|promotional_or_money_page_pattern|no_local_gsc_backlink_signal,nvestment advice. We encourage you to do your own research before investing. Join us to keep track of news:&nbsp; https://linktr.ee/coincu Thana Coincu &nbsp; News ,,
178426,mask-network-acquires-rara-team,https://coincu.com/mask-network-acquires-rara-team/,visible_raw_url_in_text,0,0,0,0,0,4,yes,no,no,FAIL,delete_candidate_high,link_citation_format_fail|promotional_or_money_page_pattern|no_local_gsc_backlink_signal,nvestment advice. We encourage you to do your own research before investing. Join us to keep track of news:&nbsp; https://linktr.ee/coincu Harold Coincu News ,,
178319,pancakeswap-launches-version-3,https://coincu.com/pancakeswap-launches-version-3/,visible_raw_url_in_text,0,0,0,0,0,7,yes,no,no,FAIL,delete_candidate_high,link_citation_format_fail|promotional_or_money_page_pattern|no_local_gsc_backlink_signal,"e industry ????Increased fee earnings for liquidity providers ????️New tools for seamless user experience Read more : https://t.co/l7GQVxqVC3 pic.twitter.com/5G9TnFzxOb &mdash; PancakeSwap????Everyone&#39;s Favorite DEX (@PancakeSwap) April 3, 2023 The previous version of the DEX dispersed liquidity from ",,
178311,3-canadian-exchanges-agree-to-merge,https://coincu.com/3-canadian-exchanges-agree-to-merge/,visible_raw_url_in_text,0,0,0,0,0,3,yes,no,no,FAIL,delete_candidate_high,link_citation_format_fail|promotional_or_money_page_pattern|no_local_gsc_backlink_signal,nvestment advice. We encourage you to do your own research before investing. Join us to keep track of news:&nbsp; https://linktr.ee/coincu Harold Coincu News ,,
178281,hangzhou-court-sentenced-defendant,https://coincu.com/hangzhou-court-sentenced-defendant/,visible_raw_url_in_text,0,0,0,0,0,5,yes,no,no,FAIL,delete_candidate_high,link_citation_format_fail|promotional_or_money_page_pattern|no_local_gsc_backlink_signal,nvestment advice. We encourage you to do your own research before investing. Join us to keep track of news:&nbsp; https://linktr.ee/coincu Harold Coincu News ,,
178186,arbitrum-whales-still-firmly-holds,https://coincu.com/arbitrum-whales-still-firmly-holds/,visible_raw_url_in_text,0,0,0,0,0,12,yes,no,no,FAIL,delete_candidate_high,link_citation_format_fail|promotional_or_money_page_pattern|no_local_gsc_backlink_signal,nvestment advice. We encourage you to do your own research before investing. Join us to keep track of news:&nbsp; https://linktr.ee/coincu Harold Coincu News ,,
