source_url,redirect_url,status_code,indexability_status,inlinks,unique_inlinks,crawl_depth
https://coincu.com/c/news/,https://coincu.com/news/,301,Redirected,188863,47948,1
https://coincu.com/c/knowledge/,https://coincu.com/knowledge/,301,Redirected,142629,47948,1
https://coincu.com/c/markets/,https://coincu.com/markets/,301,Redirected,142169,47948,1
https://coincu.com/c/casino-reviews/,https://coincu.com/casino-reviews/,301,Redirected,22093,22092,1
https://coincu.com/c/pr/press-release/,https://coincu.com/pr/press-release/,301,Redirected,22091,22091,2
https://coincu.com/c/news,https://coincu.com/news/,301,Redirected,12079,12048,2
https://coincu.com/c/analysis,https://coincu.com/analysis/,301,Redirected,1241,1241,4
https://coincu.com/c/cmc,https://coincu.com/cmc/,301,Redirected,969,969,2
https://coincu.com/c/uncategorized,https://coincu.com/uncategorized/,301,Redirected,883,883,3
https://coincu.com/c/bitcoin,https://coincu.com/bitcoin/,301,Redirected,796,796,2
https://coincu.com/c/press-release,https://coincu.com/press-release/,301,Redirected,771,771,2
https://coincu.com/c/markets,https://coincu.com/markets/,301,Redirected,764,764,2
https://coincu.com/c/knowledge,https://coincu.com/knowledge/,301,Redirected,726,725,2
https://coincu.com/c/blockchain,https://coincu.com/blockchain/,301,Redirected,588,588,4
https://coincu.com/c/defi,https://coincu.com/defi/,301,Redirected,474,474,4
https://coincu.com/c/nfts-news,https://coincu.com/nfts-news/,301,Redirected,419,419,4
https://coincu.com/c/ethereum,https://coincu.com/ethereum/,301,Redirected,344,344,2
https://coincu.com/c/scam-alert,https://coincu.com/scam-alert/,301,Redirected,300,300,2
https://coincu.com/c/other-reviews,https://coincu.com/other-reviews/,301,Redirected,279,279,2
https://coincu.com/c/sponsored-articles-pr,https://coincu.com/sponsored-articles-pr/,301,Redirected,172,172,2
https://coincu.com/c/glossary,https://coincu.com/glossary/,301,Redirected,131,131,3
https://coincu.com/c/metaverse-news,https://coincu.com/metaverse-news/,301,Redirected,131,131,4
https://coincu.com/c/nft,https://coincu.com/nft/,301,Redirected,111,111,4
https://coincu.com/c/blockchain-event,https://coincu.com/blockchain-event/,301,Redirected,110,110,2
https://coincu.com/c/airdrop,https://coincu.com/airdrop/,301,Redirected,91,91,2
