post_id,post_name,url,match_rows,unique_matched_urls,sample_matched_url
393967,bitcoin-holds-as-warsh-eyed-for-fed-chair-15-goal,https://coincu.com/bitcoin-holds-as-warsh-eyed-for-fed-chair-15-goal/,8,8,https://fortune.com/2025/12/20/trump-new-fomc-chair-fed-rate-cuts-gdp-growth-hassett-warsh-waller/?utm_source=openai
394206,bitcoin-holds-as-sec-cftc-weigh-crypto-rule-harmonization,https://coincu.com/bitcoin-holds-as-sec-cftc-weigh-crypto-rule-harmonization/,7,7,https://cointelegraph.com/news/atkins-sec-authority-crypto-innovation-2026/?utm_source=openai
394839,bitcoin-falls-to-8k-scenario-as-strategy-details-debt-cover,https://coincu.com/bitcoin-falls-to-8k-scenario-as-strategy-details-debt-cover/,7,7,https://coinpaper.com/14649/even-if-btc-falls-to-8-k-mstr-bitcoin-strategy-can-cover-6-b-debt?utm_source=openai
394984,bitcoin-draws-focus-as-abtc-reserves-exceed-6000-btc,https://coincu.com/bitcoin-draws-focus-as-abtc-reserves-exceed-6000-btc/,7,7,https://accountable.us/watchdog-applauds-hfsc-democrats-walkout-of-republican-led-crypto-hearing-that-ignores-trump-familys-worsening-crypto-conflicts-self-dealing/?utm_source=openai
395736,section-232-tariffs-gain-focus-as-scotus-curbs-ieepa,https://coincu.com/section-232-tariffs-gain-focus-as-scotus-curbs-ieepa/,7,7,https://en.wikipedia.org/wiki/Learning_Resources%2C_Inc._v._Trump?utm_source=openai
397420,bitcoin-holds-as-uk-watchdogs-eye-farages-stack-btc-stake,https://coincu.com/bitcoin-holds-as-uk-watchdogs-eye-farages-stack-btc-stake/,7,7,https://commonslibrary.parliament.uk/research-briefings/cbp-10443/?utm_source=openai).
394264,usd1-stablecoin-debuts-with-bitgo-as-wlfi-eyes-remittances,https://coincu.com/usd1-stablecoin-debuts-with-bitgo-as-wlfi-eyes-remittances/,6,6,https://coinspot.io/en/news/usd1-stablecoin-from-world-liberty-financial-under-pressure-nydig-calls-for-greater-transparency/?utm_source=openai
394594,jup-moves-toward-net-zero-emissions-in-dao-proposal,https://coincu.com/jup-moves-toward-net-zero-emissions-in-dao-proposal/,6,6,https://discuss.jup.ag/t/draft-proposal-net-zero-emissions/39948?utm_source=openai
394996,bitcoin-drops-as-metaplanet-books-non-cash-fy2025-impairment,https://coincu.com/bitcoin-drops-as-metaplanet-books-non-cash-fy2025-impairment/,6,6,https://cointelegraph.com/news/metaplanet-raises-revenue-forecast-bitcoin-impairment?utm_source=openai
396221,stablecoins-eye-yield-rules-by-march-1-clarity-act-deadline,https://coincu.com/stablecoins-eye-yield-rules-by-march-1-clarity-act-deadline/,6,6,"https://coincu.com/c/news/"">news</a>/2026/02/19/white-house-standoff-will-the-6-trillion-stablecoin-yield-war-kill-the-clarity-act-by-march-1/?utm_source=openai&#8221;"
396304,crypto-markets-digest-irans-fourth-missile-salvo-on-israel,https://coincu.com/crypto-markets-digest-irans-fourth-missile-salvo-on-israel/,6,6,https://apnews.com/article/e11bf43338e72c0977c66d998074555f?utm_source=openai
396351,tokenized-gold-trades-24-7-amid-black-swan-risk,https://coincu.com/tokenized-gold-trades-24-7-amid-black-swan-risk/,6,6,https://www.btcc.com/en-AU/amp/square/Cryptonews/1099148?utm_source=openai
397660,tokenized-securities-remain-securities-under-sec-howey-test,https://coincu.com/tokenized-securities-remain-securities-under-sec-howey-test/,6,6,"https://coincu.com/c/news/"">news</a>/sec-commissioner-reaffirms-tokenized-assets-fall-under-securities-law?utm_source=openai).</p><h3"
397778,oil-steady-as-iran-power-shift-boosts-irgc-influence,https://coincu.com/oil-steady-as-iran-power-shift-boosts-irgc-influence/,6,6,https://english.elpais.com/international/2026-03-10/mojtaba-khamenei-a-supreme-leader-under-death-threats-and-little-hope-of-change.html?outputType=amp&amp;utm_source=openai).</p><p>U.S.-based
397937,wlfi-faces-scrutiny-as-super-node-needs-50m-180-day-lockup,https://coincu.com/wlfi-faces-scrutiny-as-super-node-needs-50m-180-day-lockup/,6,6,https://accountable.us/trump-coins-secret-dinners-and-a-2-5-billion-congressional-conflict/?utm_source=openai).</p><h3
397985,lebanon-israel-talks-weighed-as-1701-guides-format,https://coincu.com/lebanon-israel-talks-weighed-as-1701-guides-format/,6,6,https://en.kataeb.org/articles/lebanon-does-not-rule-out-direct-talks-with-israel-sources-say?utm_source=openai).</p><p><a
398093,bunker-fuel-reprices-as-fujairah-loading-halts-after-attack,https://coincu.com/bunker-fuel-reprices-as-fujairah-loading-halts-after-attack/,6,6,"https://coincu.com/c/market/"">market</a>-news/2797447-uae-s-fujairah-storage-terminals-resume-operations?utm_source=openai"
398099,oil-holds-above-100-as-fujairah-attacks-halt-bunkering,https://coincu.com/oil-holds-above-100-as-fujairah-attacks-halt-bunkering/,6,6,https://maritime-executive.com/article/drone-strikes-reported-in-fujairah-and-duqm?utm_source=openai).</p><p>On
398190,nvidia-outlines-groq-integration-amid-antitrust-scrutiny,https://coincu.com/nvidia-outlines-groq-integration-amid-antitrust-scrutiny/,6,6,https://siliconanalysts.com/analysis/nvidia-stock-nvda-news-today-groq-inference-deal-china-h200-watch-and-what-to-know-before-mondays-open-ts2tech?utm_source=openai).
398768,iran-shifts-to-offensive-doctrine-as-nato-israel-react,https://coincu.com/iran-shifts-to-offensive-doctrine-as-nato-israel-react/,6,6,https://mei.edu/ar/publication/iran-considers-its-response-to-potential-renewed-us-israeli-strikes/?utm_source=openai).
393970,tokenized-securities-gain-clarity-as-sec-signals-rulemaking,https://coincu.com/tokenized-securities-gain-clarity-as-sec-signals-rulemaking/,5,5,https://decrypt.co/356268/sec-tokenized-assets-securities-first-technology-second/?utm_source=openai
394061,solana-sees-scrutiny-as-1-5b-loss-claim-clarified,https://coincu.com/solana-sees-scrutiny-as-1-5b-loss-claim-clarified/,5,5,https://beincrypto.com/solana-dats-unrealized-losses-continue-to-grow//?utm_source=openai
394414,mirae-asset-seeks-92-06-korbit-stake-amid-fiu-review,https://coincu.com/mirae-asset-seeks-92-06-korbit-stake-amid-fiu-review/,5,5,https://financefeeds.com/korbit-faces-1-9m-aml-fine-while-mirae-asset-weighs-majority-stake/?utm_source=openai
394614,bytedance-draws-criticism-as-mpa-condemns-seedance-2-0,https://coincu.com/bytedance-draws-criticism-as-mpa-condemns-seedance-2-0/,5,5,https://copyrightalliance.org/press-releases/bytedances-release-seedance/?utm_source=openai
