Address,Status Code,Action,Priority,Has Source,Source Count,Example Sources,Attachment Match,Upload Month,Malformed URL,Why
https://coincu.com/wp-content/uploads/2022/08/image-459.png,403,ignore_for_now,P3,no,0,,no,2022/08,no,No current post-content source and no attachment match found; likely orphan or sitemap-only media residue.
https://coincu.com/wp-content/uploads/2022/12/Ban-sao-cua-BB-21-5.png,403,ignore_for_now,P3,no,0,,no,2022/12,no,No current post-content source and no attachment match found; likely orphan or sitemap-only media residue.
https://coincu.com/wp-content/uploads/2022/08/image-467.png,403,ignore_for_now,P3,no,0,,no,2022/08,no,No current post-content source and no attachment match found; likely orphan or sitemap-only media residue.
https://coincu.com/wp-content/uploads/2022/08/image-474.png,403,ignore_for_now,P3,no,0,,no,2022/08,no,No current post-content source and no attachment match found; likely orphan or sitemap-only media residue.
https://coincu.com/wp-content/uploads/2022/07/Ethereum-Classic-Is-A-Good-Chain.png,403,ignore_for_now,P3,no,0,,no,2022/07,no,No current post-content source and no attachment match found; likely orphan or sitemap-only media residue.
https://coincu.com/wp-content/uploads/2022/12/Ban-sao-cua-BB-2022-12-06T022050.706.png,403,ignore_for_now,P3,no,0,,no,2022/12,no,No current post-content source and no attachment match found; likely orphan or sitemap-only media residue.
https://coincu.com/wp-content/uploads/2022/10/Dormant-Whale-Wallet-Increases-Ethereum-By-8.png,403,ignore_for_now,P3,no,0,,no,2022/10,no,No current post-content source and no attachment match found; likely orphan or sitemap-only media residue.
https://coincu.com/wp-content/uploads/2022/11/Ban-sao-cua-BB-9-3.png,403,ignore_for_now,P3,no,0,,no,2022/11,no,No current post-content source and no attachment match found; likely orphan or sitemap-only media residue.
https://coincu.com/wp-content/uploads/2022/12/Ban-sao-cua-BB-2022-12-24T012241.712.png,403,ignore_for_now,P3,no,0,,no,2022/12,no,No current post-content source and no attachment match found; likely orphan or sitemap-only media residue.
https://coincu.com/wp-content/uploads/2022/11/Ban-sao-cua-BB-10-2.png,403,ignore_for_now,P3,no,0,,no,2022/11,no,No current post-content source and no attachment match found; likely orphan or sitemap-only media residue.
https://coincu.com/wp-content/uploads/2022/11/Ban-sao-cua-BB-36.png,403,ignore_for_now,P3,no,0,,no,2022/11,no,No current post-content source and no attachment match found; likely orphan or sitemap-only media residue.
https://coincu.com/wp-content/uploads/2022/07/Ban-sao-cua-Layout_Thumb-Website-44-1.png,403,ignore_for_now,P3,no,0,,no,2022/07,no,No current post-content source and no attachment match found; likely orphan or sitemap-only media residue.
https://coincu.com/wp-content/uploads/2022/07/Ban-sao-cua-Layout_Thumb-Website-85.png,403,ignore_for_now,P3,no,0,,no,2022/07,no,No current post-content source and no attachment match found; likely orphan or sitemap-only media residue.
https://coincu.com/wp-content/uploads/2022/09/Ban-sao-Thumbnail-23.png,403,ignore_for_now,P3,no,0,,no,2022/09,no,No current post-content source and no attachment match found; likely orphan or sitemap-only media residue.
https://coincu.com/wp-content/uploads/2022/10/Agora-10th-Global-Blockchain-Congress.png,403,ignore_for_now,P3,no,0,,no,2022/10,no,No current post-content source and no attachment match found; likely orphan or sitemap-only media residue.
https://coincu.com/wp-content/uploads/2022/11/image-1523.png,403,ignore_for_now,P3,no,0,,no,2022/11,no,No current post-content source and no attachment match found; likely orphan or sitemap-only media residue.
https://coincu.com/wp-content/uploads/2022/07/MetaMask-Co-Founders-Admit.png,403,ignore_for_now,P3,no,0,,no,2022/07,no,No current post-content source and no attachment match found; likely orphan or sitemap-only media residue.
https://coincu.com/wp-content/uploads/2022/11/Ban-sao-Thumbnail-44-1.png,403,ignore_for_now,P3,no,0,,no,2022/11,no,No current post-content source and no attachment match found; likely orphan or sitemap-only media residue.
https://coincu.com/wp-content/uploads/2022/08/Copy-of-Layout_Thumb-Website-2.png,403,ignore_for_now,P3,no,0,,no,2022/08,no,No current post-content source and no attachment match found; likely orphan or sitemap-only media residue.
https://coincu.com/wp-content/uploads/2022/10/Ban-sao-Thumbnail-52-1.png,403,ignore_for_now,P3,no,0,,no,2022/10,no,No current post-content source and no attachment match found; likely orphan or sitemap-only media residue.
https://coincu.com/wp-content/uploads/2022/12/image-2210.png,403,ignore_for_now,P3,no,0,,no,2022/12,no,No current post-content source and no attachment match found; likely orphan or sitemap-only media residue.
https://coincu.com/wp-content/uploads/2022/10/Binance-Smart-Chain-Hacked.png,403,ignore_for_now,P3,no,0,,no,2022/10,no,No current post-content source and no attachment match found; likely orphan or sitemap-only media residue.
https://coincu.com/wp-content/uploads/2022/10/Visa-Trademark-Filings-Indicate-Plans.png,403,ignore_for_now,P3,no,0,,no,2022/10,no,No current post-content source and no attachment match found; likely orphan or sitemap-only media residue.
https://coincu.com/wp-content/uploads/2022/10/Vitalik-Buterin-Makes-Jokes-About-Meme-Token-1.png,403,ignore_for_now,P3,no,0,,no,2022/10,no,No current post-content source and no attachment match found; likely orphan or sitemap-only media residue.
https://coincu.com/wp-content/uploads/2022/10/Crypto-Investors-Are-Hopeful-For-Price-Rebounds-.png,403,ignore_for_now,P3,no,0,,no,2022/10,no,No current post-content source and no attachment match found; likely orphan or sitemap-only media residue.
https://coincu.com/wp-content/uploads/2022/08/Cardano-Whales-Acquire-138-Million-In-ADA.png,403,ignore_for_now,P3,no,0,,no,2022/08,no,No current post-content source and no attachment match found; likely orphan or sitemap-only media residue.
https://coincu.com/wp-content/uploads/2022/08/Ban-sao-cua-Layout_Thumb-Website-20-1.png,403,ignore_for_now,P3,no,0,,no,2022/08,no,No current post-content source and no attachment match found; likely orphan or sitemap-only media residue.
https://coincu.com/wp-content/uploads/2022/10/Ban-sao-Thumbnail-52.png,403,ignore_for_now,P3,no,0,,no,2022/10,no,No current post-content source and no attachment match found; likely orphan or sitemap-only media residue.
https://coincu.com/wp-content/uploads/2022/07/Ban-sao-cua-Layout_Thumb-Website-100.png,403,ignore_for_now,P3,no,0,,no,2022/07,no,No current post-content source and no attachment match found; likely orphan or sitemap-only media residue.
https://coincu.com/wp-content/uploads/2022/07/Ban-sao-cua-Layout_Thumb-Website-12-1.png,403,ignore_for_now,P3,no,0,,no,2022/07,no,No current post-content source and no attachment match found; likely orphan or sitemap-only media residue.
https://coincu.com/wp-content/uploads/2022/11/image-417.png,403,ignore_for_now,P3,no,0,,no,2022/11,no,No current post-content source and no attachment match found; likely orphan or sitemap-only media residue.
https://coincu.com/wp-content/uploads/2022/09/image-2027.png,403,ignore_for_now,P3,no,0,,no,2022/09,no,No current post-content source and no attachment match found; likely orphan or sitemap-only media residue.
https://coincu.com/wp-content/uploads/2022/12/image-2069.png,403,ignore_for_now,P3,no,0,,no,2022/12,no,No current post-content source and no attachment match found; likely orphan or sitemap-only media residue.
