url,title,h1,content_bucket,status_code,indexability,word_count,meta_description_len,clicks,impressions,ctr,position,ref_domains,backlinks,in_live_sitemap,heuristic_action,confidence,priority,reason
https://coincu.com/0-5-nigeria-population-is-leveraging-enaira/,Less Than 0.5% Of Nigeria Population Is Leveraging eNaira,Less Than 0.5% Of Nigeria Population Is Leveraging eNaira,news,200,Indexable,2089,158,0,0,,,0,0,yes,delete,high,P1,no_signal
https://coincu.com/0-fee-crypto-payments-powered-by-a-neobank/,0% Fee Crypto Payments – Powered by a Neobank,0% Fee Crypto Payments – Powered by a Neobank,news,200,Indexable,2305,169,0,0,,,0,0,yes,delete,high,P1,no_signal
https://coincu.com/1-02-million-ether-been-withdrawn-shanghai/,1.02 Million Ether Has Been Withdrawn After Ethereum's Shanghai Hard Fork,1.02 Million Ether Has Been Withdrawn After Ethereum’s Shanghai Hard Fork,news,200,Indexable,2101,120,0,0,,,0,0,yes,delete,high,P1,no_signal
https://coincu.com/1-38-billion-lost-first-half-2024-crypto-hacks/,$1.38 Billion Lost in First Half 2024 Crypto Hacks: Report,$1.38 Billion Lost in First Half 2024 Crypto Hacks: Report,news,200,Indexable,2037,199,0,0,,,0,0,yes,delete,high,P1,no_signal
https://coincu.com/1-8-b-strk-tokens-distribution-plan-starknet/,1.8 Billion STRK Tokens Distribution Plan Revealed By Starknet Foundation,1.8 Billion STRK Tokens Distribution Plan Revealed By Starknet Foundation,news,200,Indexable,2077,238,0,0,,,0,0,yes,delete,high,P1,no_signal
https://coincu.com/1-95m-ldo-accumulated-3-whales/,About 1.95 Million LDO Accumulated By 3 Whales In The Last Week,About 1.95 Million LDO Accumulated By 3 Whales In The Last Week,news,200,Indexable,1997,157,0,0,,,0,0,yes,delete,high,P1,no_signal
https://coincu.com/1-billion-ada-vasil-closer-in-cardano/,1 Billion ADA Vasil Is Now Getting Closer In Cardano's Treasury,1 Billion ADA Vasil Is Now Getting Closer In Cardano’s Treasury,news,200,Indexable,2118,152,0,0,,,0,0,yes,delete,high,P1,no_signal
https://coincu.com/1-billion-nft-16-blockchains-unprecedented/,1 Billion NFT Assets Across 16 Blockchains: Unprecedented Growth Signals NFT Revolution,1 Billion NFT Assets Across 16 Blockchains: Unprecedented Growth Signals NFT Revolution,news,200,Indexable,1957,157,0,0,,,0,0,yes,delete,high,P1,no_signal
https://coincu.com/1-billion-people-will-use-cryptocurrencies/,1 Billion People Will Use Cryptocurrencies By 2030,1 Billion People Will Use Cryptocurrencies By 2030,news,200,Indexable,2006,156,0,0,,,0,0,yes,delete,high,P1,no_signal
https://coincu.com/1-euro-1usd-what-it-means-for-crypto/,"1 EURO = 1USD, What It Means for Crypto?","1 EURO = 1USD, What It Means for Crypto?",news,200,Indexable,2206,119,0,0,,,0,0,yes,delete,high,P1,no_signal
https://coincu.com/1-target-in-sight-blockdags-ceo-and-team-revealed-polkadot-and-maker-energize-the-market/,$1 Target in Sight: BlockDAG's CEO and Team Revealed; Polkadot and Maker Energize the Market,$1 Target in Sight: BlockDAG’s CEO and Team Revealed; Polkadot and Maker Energize the Market,news,200,Indexable,2344,222,0,0,,,0,0,yes,delete,high,P1,no_signal
https://coincu.com/10-crypto-incidents-in-last-week/,"10 Crypto Incidents In Last Week, Resulting In Nearly $20 Million Losses","10 Crypto Incidents In Last Week, Resulting In Nearly $20 Million Losses",news,200,Indexable,2151,151,0,0,,,0,0,yes,delete,high,P1,no_signal
https://coincu.com/10-million-matic-shifted-to-binance-through-gsr/,10 Million MATIC Shifted to Binance Through GSR Markets in 1 Hour!,10 Million MATIC Shifted to Binance Through GSR Markets in 1 Hour!,news,200,Indexable,2152,156,0,0,,,0,0,yes,delete,high,P1,no_signal
https://coincu.com/10-pudgy-penguins-sold-in-auction-sothebys/,10 Pudgy Penguins Have Been Sold In An Auction Held By Sotheby's,10 Pudgy Penguins Have Been Sold In An Auction Held By Sotheby’s,news,200,Indexable,1991,217,0,0,,,0,0,yes,delete,high,P1,no_signal
https://coincu.com/10-ways-to-make-money-online-for-beginners/,10 Ways to Make Money Online for Beginners in 2024,10 Ways to Make Money Online for Beginners in 2024,news,200,Indexable,3376,232,0,0,,,0,0,yes,delete,high,P1,no_signal
