id,date,slug,status,url,backlink_rows,ref_domains,gsc_clicks,gsc_impressions,decision,reason
255343,2026-05-08T05:05:17,balaji-srinivasan-net-worth,publish,https://coincu.com/balaji-srinivasan-net-worth,0,0,73,644,keep,has_gsc_3m
400798,2026-04-23T07:15:46,what-is-usd-ai-chip,publish,https://coincu.com/what-is-usd-ai-chip,0,0,6,70,keep,has_gsc_3m
399662,2026-04-04T16:46:15,jack-dorsey-block-free-bitcoin-faucet,publish,https://coincu.com/jack-dorsey-block-free-bitcoin-faucet,0,0,8,381,keep,has_gsc_3m
397797,2026-03-13T03:14:14,bitcoin-faces-1250-risk-weight-in-fed-basel-iii-proposal,publish,https://coincu.com/bitcoin-faces-1250-risk-weight-in-fed-basel-iii-proposal,0,0,5,153,keep,has_gsc_3m
397414,2026-03-09T16:38:42,oil-markets-weigh-u-s-export-curbs-as-trump-explores,publish,https://coincu.com/oil-markets-weigh-u-s-export-curbs-as-trump-explores,0,0,4,35,keep,has_gsc_3m
393811,2026-02-09T02:42:03,ai-com-debuts-in-beta-amid-70m-domain-bet-by-kris-marszalek,publish,https://coincu.com/ai-com-debuts-in-beta-amid-70m-domain-bet-by-kris-marszalek,0,0,4,132,keep,has_gsc_3m
393676,2026-02-06T13:14:03,bitcoin-trades-at-korea-discount-as-bithumb-gap-widens,publish,https://coincu.com/bitcoin-trades-at-korea-discount-as-bithumb-gap-widens,0,0,5,818,keep,has_gsc_3m
392752,2026-01-31T07:43:54,cz-unfollows-toly-on-twitter,publish,https://coincu.com/cz-unfollows-toly-on-twitter,0,0,4,1303,keep,has_gsc_3m
392412,2026-01-29T22:45:25,global-gold-demand-record-2025,publish,https://coincu.com/global-gold-demand-record-2025,0,0,3,134,keep,has_gsc_3m
390980,2026-01-25T07:11:55,gamestop-bitcoin-transfer-coinbase-2,publish,https://coincu.com/gamestop-bitcoin-transfer-coinbase-2,0,0,4,71,keep,has_gsc_3m
386113,2025-12-29T03:21:03,hong-kong-basel-crypto-regulations-2026,publish,https://coincu.com/hong-kong-basel-crypto-regulations-2026,23,5,0,0,keep,has_backlink
385872,2025-12-27T12:50:53,flow-investigates-security-incident,publish,https://coincu.com/flow-investigates-security-incident,0,0,8,554,keep,has_gsc_3m
385733,2025-12-26T19:11:50,blackrock-deposits-btc-eth-coinbase,publish,https://coincu.com/blackrock-deposits-btc-eth-coinbase,0,0,12,185,keep,has_gsc_3m
384360,2025-12-19T00:48:19,trump-fed-chair-candidates,publish,https://coincu.com/trump-fed-chair-candidates,20,4,0,0,keep,has_backlink
384337,2025-12-18T21:19:09,us-jobless-claims-below-forecast,publish,https://coincu.com/us-jobless-claims-below-forecast,5,2,0,0,keep,has_backlink
383668,2025-12-15T21:45:53,bitcoin-whale-unrealized-loss,publish,https://coincu.com/bitcoin-whale-unrealized-loss,0,0,10,372,keep,has_gsc_3m
383365,2025-12-14T14:15:59,bitcoin-options-expiry-december-26,publish,https://coincu.com/bitcoin-options-expiry-december-26,0,0,23,346,keep,has_gsc_3m
382955,2025-12-12T09:05:46,jump-crypto-firedancer-solana-launch,publish,https://coincu.com/jump-crypto-firedancer-solana-launch,0,0,5,35,keep,has_gsc_3m
381801,2025-12-06T12:05:10,federal-reserve-rate-cuts-2025-3,publish,https://coincu.com/federal-reserve-rate-cuts-2025-3,21,4,0,0,keep,has_backlink
381053,2025-12-02T08:20:17,boj-policy-shift-market-reaction,publish,https://coincu.com/boj-policy-shift-market-reaction,0,0,3,92,keep,has_gsc_3m
380513,2025-11-29T00:25:44,uk-crypto-exchange-tax-regulation,publish,https://coincu.com/uk-crypto-exchange-tax-regulation,0,0,5,131,keep,has_gsc_3m
378967,2025-11-18T15:03:31,tether-invests-ledn-bitcoin-lending,publish,https://coincu.com/tether-invests-ledn-bitcoin-lending,4,2,0,0,keep,has_backlink
378914,2025-11-18T06:13:03,nvidia-q3-report-ai-markets,publish,https://coincu.com/nvidia-q3-report-ai-markets,5,2,0,0,keep,has_backlink
378891,2025-11-18T02:43:32,grab-straitsx-web3-wallet-launch,publish,https://coincu.com/grab-straitsx-web3-wallet-launch,11,2,0,0,keep,has_backlink
378888,2025-11-18T02:12:58,fidelity-solana-etf-launch-competition,publish,https://coincu.com/fidelity-solana-etf-launch-competition,20,5,0,0,keep,has_backlink
378872,2025-11-17T23:12:38,yala-recovers-post-liquidity-attack,publish,https://coincu.com/yala-recovers-post-liquidity-attack,2,2,0,0,keep,has_backlink
378863,2025-11-17T22:43:13,coinbase-monad-token-sale-launch,publish,https://coincu.com/coinbase-monad-token-sale-launch,2,1,4,147,keep,has_backlink|has_gsc_3m
378851,2025-11-17T20:42:11,vaneck-solana-etf-launch-nasdaq,publish,https://coincu.com/vaneck-solana-etf-launch-nasdaq,4,2,0,0,keep,has_backlink
378848,2025-11-17T20:14:38,filecoin-upgrade-network-utilization-increase,publish,https://coincu.com/filecoin-upgrade-network-utilization-increase,3,2,0,0,keep,has_backlink
378842,2025-11-17T19:14:05,sec-changes-crypto-regulation,publish,https://coincu.com/sec-changes-crypto-regulation,1,1,0,0,keep,has_backlink
378831,2025-11-17T17:44:07,forward-industries-solana-deposit,publish,https://coincu.com/forward-industries-solana-deposit,7,3,0,0,keep,has_backlink
378824,2025-11-17T17:13:55,trump-us-global-crypto-tax-framework,publish,https://coincu.com/trump-us-global-crypto-tax-framework,1,1,0,0,keep,has_backlink
378790,2025-11-17T15:13:07,federal-reserve-jefferson-cautious-approach,publish,https://coincu.com/federal-reserve-jefferson-cautious-approach,2,1,0,0,keep,has_backlink
378781,2025-11-17T14:34:47,coinfello-the-first-self-sovereign-ai-agent-for-using-and-automating-any-smart-contract,publish,https://coincu.com/coinfello-the-first-self-sovereign-ai-agent-for-using-and-automating-any-smart-contract,2,2,0,0,keep,has_backlink
378778,2025-11-17T14:12:51,sgx-launch-bitcoin-ethereum-futures,publish,https://coincu.com/sgx-launch-bitcoin-ethereum-futures,3,1,0,0,keep,has_backlink
378766,2025-11-17T13:12:42,aave-labs-defi-app-launch,publish,https://coincu.com/aave-labs-defi-app-launch,3,1,0,0,keep,has_backlink
378748,2025-11-17T12:50:18,dogecoin-hints-breakout-target-above-5,publish,https://coincu.com/dogecoin-hints-breakout-target-above-5,3,2,0,0,keep,has_backlink
