post_id,post_name,url,issue_types,gsc_clicks,gsc_impressions,backlinks,ref_domains,h2_count,anchor_count,promo_pattern,wire_style,claim_check_style,writing_qc_verdict,suggested_action,why,sample_1,sample_2,sample_3
188337,blackrock-fund-withdraws-1-27t-pepe-binance,https://coincu.com/blackrock-fund-withdraws-1-27t-pepe-binance/,visible_raw_url_in_text,0,0,0,0,0,17,yes,no,no,FAIL,delete_candidate_high,link_citation_format_fail|promotional_or_money_page_pattern|no_local_gsc_backlink_signal,nvestment advice. We encourage you to do your own research before investing. Join us to keep track of news:&nbsp; https://linktr.ee/coincu Thana Coincu &nbsp; News ,,
188245,bitget-hire-300-after-positive-report,https://coincu.com/bitget-hire-300-after-positive-report/,visible_raw_url_in_text,0,0,0,0,0,6,yes,no,no,FAIL,delete_candidate_high,link_citation_format_fail|promotional_or_money_page_pattern|no_local_gsc_backlink_signal,te investment advice. We encourage you to do your research before investing. Join us to keep track of news:&nbsp; https://linktr.ee/coincu Foxy Coincu &nbsp; News ,,
188221,uniswap-defi-platforms-complex-expensive,https://coincu.com/uniswap-defi-platforms-complex-expensive/,visible_raw_url_in_text,0,0,0,0,0,4,yes,no,no,FAIL,delete_candidate_high,link_citation_format_fail|promotional_or_money_page_pattern|no_local_gsc_backlink_signal,nvestment advice. We encourage you to do your own research before investing. Join us to keep track of news:&nbsp; https://linktr.ee/coincu Thana Coincu &nbsp; News ,,
188164,subversive-liquidation-metaverse-etf,https://coincu.com/subversive-liquidation-metaverse-etf/,visible_raw_url_in_text,0,0,0,0,0,4,yes,no,no,FAIL,delete_candidate_high,link_citation_format_fail|promotional_or_money_page_pattern|no_local_gsc_backlink_signal,nvestment advice. We encourage you to do your own research before investing. Join us to keep track of news:&nbsp; https://linktr.ee/coincu Harold Coincu News ,,
188151,tether-uses-net-profits-purchase-btc,https://coincu.com/tether-uses-net-profits-purchase-btc/,visible_raw_url_in_text,0,0,0,0,0,7,yes,no,no,FAIL,delete_candidate_high,link_citation_format_fail|promotional_or_money_page_pattern|no_local_gsc_backlink_signal,"coin. These Bitcoin shall be considered on top of the minimum reserves assets that 100% back tether tokens. More ???? https://t.co/7zC2swgwWH pic.twitter.com/BOcSDjjmDf &mdash; Tether (@Tether_to) May 17, 2023 It has $1.5 billion in Bitcoin on hand at the end of the first quarter of 2023, accounting for a",,
188145,uk-treasury-committee-claims-bitcoin-scams,https://coincu.com/uk-treasury-committee-claims-bitcoin-scams/,visible_raw_url_in_text,0,0,0,0,0,3,yes,no,no,FAIL,delete_candidate_high,link_citation_format_fail|promotional_or_money_page_pattern|no_local_gsc_backlink_signal,nvestment advice. We encourage you to do your own research before investing. Join us to keep track of news:&nbsp; https://linktr.ee/coincu Thana Coincu &nbsp; News ,,
188080,china-takes-decisive-action-against-nft,https://coincu.com/china-takes-decisive-action-against-nft/,visible_raw_url_in_text,0,0,0,0,0,4,yes,no,no,FAIL,delete_candidate_high,link_citation_format_fail|promotional_or_money_page_pattern|no_local_gsc_backlink_signal,nvestment advice. We encourage you to do your own research before investing. Join us to keep track of news:&nbsp; https://linktr.ee/coincu Annie Coincu &nbsp; News ,,
187943,9-5m-ladys-sent-to-exchanges,https://coincu.com/9-5m-ladys-sent-to-exchanges/,visible_raw_url_in_text,0,0,0,0,0,18,yes,no,no,FAIL,delete_candidate_high,link_citation_format_fail|promotional_or_money_page_pattern|no_local_gsc_backlink_signal,"s again 8 hrs ago. Currently hold 118.6T $LADYS ($11M), and deposited 102.5T $LADYS ($9.5M) to exchanges in total. https://t.co/u6Xy1igGb7 pic.twitter.com/if3PCqKY6D &mdash; Lookonchain (@lookonchain) May 17, 2023 The Milady memecoin has created many &#8220;millionaires&#8221; since its launch last wee",,
187904,justin-sun-criticizes-huobi-founder-brother,https://coincu.com/justin-sun-criticizes-huobi-founder-brother/,visible_raw_url_in_text,0,0,0,0,0,4,yes,no,no,FAIL,delete_candidate_high,link_citation_format_fail|promotional_or_money_page_pattern|no_local_gsc_backlink_signal,nvestment advice. We encourage you to do your own research before investing. Join us to keep track of news:&nbsp; https://linktr.ee/coincu Harold Coincu News ,,
187891,cetus-to-airdrop-100000-sui,https://coincu.com/cetus-to-airdrop-100000-sui/,visible_raw_url_in_text,0,0,0,0,0,7,yes,no,no,FAIL,delete_candidate_high,link_citation_format_fail|promotional_or_money_page_pattern|no_local_gsc_backlink_signal,nvestment advice. We encourage you to do your own research before investing. Join us to keep track of news:&nbsp; https://linktr.ee/coincu Harold Coincu News ,,
