issue_type,post_id,post_type,post_status,post_name,match_count,find_url,replace_url,live_rest_status,remaining_live_count,live_state,found_in_local_export,has_utm_source_openai,utm_source_openai_url_count,sample_openai_url,has_raw_format_issue,is_severe_raw_format_like,scan_flags
c_news,398783,post,publish,bitcoin-steadies-as-boyaa-clears-100m-crypto-mandate,1,https://coincu.com/c/news/,https://coincu.com/news/,200,1,still_needs_edit,yes,,0,,yes,yes,broken_url_interrupted_by_anchor|raw_url_in_parentheses|raw_url_after_colon|short_internal_anchor_text|dirty_internal_link
c_news,398771,post,publish,oil-markets-focus-as-iran-answers-trump-on-hormuz,1,https://coincu.com/c/news/,https://coincu.com/news/,200,1,still_needs_edit,yes,,0,,yes,yes,raw_url_in_parentheses|short_internal_anchor_text|dirty_internal_link
c_news,398708,post,publish,twitter-sees-legal-risk-as-jury-finds-musk-liable,1,https://coincu.com/c/news/,https://coincu.com/news/,200,1,still_needs_edit,yes,,0,,yes,yes,broken_url_interrupted_by_anchor|raw_url_in_parentheses|short_internal_anchor_text|dirty_internal_link
c_news,398702,post,publish,oil-faces-supply-risk-as-iran-announces-hormuz-operation,1,https://coincu.com/c/news/,https://coincu.com/news/,200,1,still_needs_edit,yes,,0,,,,short_internal_anchor_text|dirty_internal_link
c_news,398699,post,publish,f-35-faces-probe-as-centcom-reviews-irgc-hit-claim,1,https://coincu.com/c/news/,https://coincu.com/news/,200,1,still_needs_edit,yes,,0,,yes,yes,raw_url_in_parentheses|short_internal_anchor_text|dirty_internal_link
c_news,398672,post,publish,gold-falls-as-treasury-yields-climb-on-fed-cut-repricing,1,https://coincu.com/c/news/,https://coincu.com/news/,200,1,still_needs_edit,yes,,0,,,,short_internal_anchor_text|dirty_internal_link
c_news,398650,post,publish,oil-steadies-as-trump-says-no-ceasefire-hormuz-risk,1,https://coincu.com/c/news/,https://coincu.com/news/,200,1,still_needs_edit,yes,,0,,yes,yes,raw_url_in_parentheses|short_internal_anchor_text|dirty_internal_link
c_news,398595,post,publish,federal-reserve-weighs-cuts-amid-inflation-independence,1,https://coincu.com/c/news/,https://coincu.com/news/,200,1,still_needs_edit,yes,,0,,,,short_internal_anchor_text|dirty_internal_link
c_news,398586,post,publish,us-f-35-claims-disputed-as-dod-idf-deny-irib-backtracks,1,https://coincu.com/c/news/,https://coincu.com/news/,200,1,still_needs_edit,yes,,0,,,,short_internal_anchor_text|dirty_internal_link
c_news,398507,post,publish,figma-shares-slip-as-google-unveils-stitch-vibe-design,1,https://coincu.com/c/news/,https://coincu.com/news/,200,1,still_needs_edit,yes,,0,,,,short_internal_anchor_text|dirty_internal_link
c_news,398495,post,publish,qatar-lng-exports-curbed-as-force-majeure-at-ras-laffan,1,https://coincu.com/c/news/,https://coincu.com/news/,200,1,still_needs_edit,yes,,0,,,,short_internal_anchor_text|dirty_internal_link
c_news,398480,post,publish,brent-crude-holds-as-fed-weighs-mideast-shock-jobs-outlook,1,https://coincu.com/c/news/,https://coincu.com/news/,200,1,still_needs_edit,yes,,0,,,,short_internal_anchor_text|dirty_internal_link
c_news,398471,post,publish,fed-funds-futures-hold-ahead-of-dot-plot-fomc-projections,1,https://coincu.com/c/news/,https://coincu.com/news/,200,1,still_needs_edit,yes,,0,,,,short_internal_anchor_text|dirty_internal_link
c_news,398462,post,publish,bitcoin-steadies-as-bls-ppi-undercuts-0-7-rumor,1,https://coincu.com/c/news/,https://coincu.com/news/,200,1,still_needs_edit,yes,,0,,,,short_internal_anchor_text|dirty_internal_link
c_news,398459,post,publish,federal-reserve-revises-statement-on-jobs-mideast-risks,1,https://coincu.com/c/news/,https://coincu.com/news/,200,1,still_needs_edit,yes,,0,,,,short_internal_anchor_text|dirty_internal_link
c_news,398419,post,publish,oil-steadies-as-ihl-article-51-shape-hormuz-risk,1,https://coincu.com/c/news/,https://coincu.com/news/,200,1,still_needs_edit,yes,,0,,,,short_internal_anchor_text|dirty_internal_link
c_news,398401,post,publish,fed-funds-futures-steady-as-march-2026-odds-hinge-on-data,1,https://coincu.com/c/news/,https://coincu.com/news/,200,1,still_needs_edit,yes,,0,,,,short_internal_anchor_text|dirty_internal_link
