source_url,source_type,source_id,old_link,new_link,link_row_occurrences_expected,old_count_found_in_raw,status
https://coincu.com/1011-flash-crash-borrow-binance/,posts,380898,https://coincu.com/news/ethereum-whale-accumulates-market-shift/,https://coincu.com/ethereum-whale-accumulates-market-shift/,1,2,replaced
https://coincu.com/10b-eth-shorts-at-risk-if-price-pumps-10/,posts,365102,https://coincu.com/markets/ethereum-etf-record-outflow/,https://coincu.com/ethereum-etf-record-outflow/,1,1,replaced
https://coincu.com/11b-short-squeeze-ahead/,posts,379718,https://coincu.com/analysis/btc-107k-signaling-a-move-to-115k/,https://coincu.com/btc-107k-signaling-a-move-to-115k/,1,1,replaced
https://coincu.com/11b-short-squeeze-ahead/,posts,379718,https://coincu.com/analysis/btc-faces-233m-liquidation-threat/,https://coincu.com/btc-faces-233m-liquidation-threat/,1,1,replaced
https://coincu.com/2-20-breakout-looms-xrp-holders-brace/,posts,391451,https://coincu.com/analysis/xrp-on-the-edge-will-it-explode/,https://coincu.com/xrp-on-the-edge-will-it-explode/,1,1,replaced
https://coincu.com/2-20-breakout-looms-xrp-holders-brace/,posts,391451,https://coincu.com/analysis/xrp-surge-ahead-watch-this-key-2-20/,https://coincu.com/xrp-surge-ahead-watch-this-key-2-20/,1,1,replaced
https://coincu.com/21shares-adds-6-new-crypto-etps-to-nasdaq/,posts,379379,https://coincu.com/markets/21shares-spot-solana-etf-launch/,https://coincu.com/21shares-spot-solana-etf-launch/,1,1,replaced
https://coincu.com/21shares-dogecoin-etf-rumor/,posts,363969,https://coincu.com/analysis/dogecoin-price-prediction-rsi-support/,https://coincu.com/dogecoin-price-prediction-rsi-support/,1,1,replaced
https://coincu.com/21shares-dogecoin-etf-rumor/,posts,363969,https://coincu.com/news/grayscale-dogecoin-etf-filing/,https://coincu.com/grayscale-dogecoin-etf-filing/,1,1,replaced
https://coincu.com/21shares-dogecoin-spot-etf-nasdaq/,posts,390597,https://coincu.com/analysis/federal-reserve-crypto-markets-impact/,https://coincu.com/federal-reserve-crypto-markets-impact/,1,1,replaced
https://coincu.com/21shares-files-for-ondo-etf/,posts,393736,https://coincu.com/news/21shares-files-s1-ondo-etf-sec/,https://coincu.com/21shares-files-s1-ondo-etf-sec/,1,1,replaced
https://coincu.com/21shares-files-for-ondo-etf/,posts,393736,https://coincu.com/news/ondo-finance-solana-expansion/,https://coincu.com/ondo-finance-solana-expansion/,1,1,replaced
https://coincu.com/21shares-files-s-1-with-sec-to-launch/,posts,373077,https://coincu.com/news/canary-capital-launches-etfs/,https://coincu.com/canary-capital-launches-etfs/,1,1,replaced
https://coincu.com/21shares-files-s-1-with-sec-to-launch/,posts,373077,https://coincu.com/news/sec-crypto-etfs-october-2025/,https://coincu.com/sec-crypto-etfs-october-2025/,1,1,replaced
https://coincu.com/21shares-launches-first-us-polkadot-etf/,posts,397233,https://coincu.com/news/sec-delays-21shares-polkadot-etf/,https://coincu.com/sec-delays-21shares-polkadot-etf/,1,1,replaced
https://coincu.com/21shares-launches-jitosol-staking-etp-on/,posts,392461,https://coincu.com/news/21shares-adds-6-new-crypto-etps-to-nasdaq/,https://coincu.com/21shares-adds-6-new-crypto-etps-to-nasdaq/,1,1,replaced
https://coincu.com/21shares-spot-solana-etf-launch/,posts,379159,https://coincu.com/analysis/solana-recovers-after-consolidation-190/,https://coincu.com/solana-recovers-after-consolidation-190/,1,2,replaced
https://coincu.com/21shares-spot-solana-etf-launch/,posts,379159,https://coincu.com/markets/sol-spot-etf-inflows/,https://coincu.com/sol-spot-etf-inflows/,1,2,replaced
https://coincu.com/21shares-xrp-etf-approved-what-to-expect/,posts,380548,https://coincu.com/news/coinshares-solana-spot-etf/,https://coincu.com/coinshares-solana-spot-etf/,1,1,replaced
https://coincu.com/21shares-xrp-etf-approved-what-to-expect/,posts,380548,https://coincu.com/news/sec-digital-asset-etf-listings/,https://coincu.com/sec-digital-asset-etf-listings/,1,1,replaced
https://coincu.com/21x-us-market-blockchain-exchange/,posts,366933,https://coincu.com/news/sec-suspends-trading-in-qmmm-after-stock/,https://coincu.com/sec-suspends-trading-in-qmmm-after-stock/,1,2,replaced
