post_id,post_name,url,matched_url_count,sample_matched_url
344458,articleid-xrp-price-prediction-veteran-trader-sees-8-target-by-2026-is-now-the-moment-to-load-up-on-xrp,https://coincu.com/articleid-xrp-price-prediction-veteran-trader-sees-8-target-by-2026-is-now-the-moment-to-load-up-on-xrp/,5,https://cryptorank.io/news/feed/39b12-xrp-whale-count-hits-record-as-canada-s-first-spot-etf-goes-live?utm_source=chatgpt.com
347656,solana-price-prediction-sol-to-break-220-in-july-as-new-viral-coin-under-0-002-gears-up-for-sharp-7200-rise,https://coincu.com/solana-price-prediction-sol-to-break-220-in-july-as-new-viral-coin-under-0-002-gears-up-for-sharp-7200-rise/,5,https://finbold.com/crypto-investor-who-bought-dogecoin-doge-at-0-004-says-little-pepe-lilpepe-feels-like-a-bigger-opportunity/?utm_source=chatgpt.com
366046,top-5-explosive-crypto-projects-for-the-next-bull-run-top-coins-dominating-in-2025-beyond-solana-and-dogecoin,https://coincu.com/top-5-explosive-crypto-projects-for-the-next-bull-run-top-coins-dominating-in-2025-beyond-solana-and-dogecoin/,5,https://coinmarketcap.com/currencies/meme/?utm_source=chatgpt.com
357863,solana-predicted-to-overtake-xrp-before-cycle-top-but-sol-ripple-holders-are-diversifying-elsewhere-for-bigger-roi,https://coincu.com/solana-predicted-to-overtake-xrp-before-cycle-top-but-sol-ripple-holders-are-diversifying-elsewhere-for-bigger-roi/,4,https://blocktelegraph.io/little-pepe-lilpepe-rockets-past-19-3-million-in-presale-as-10th-stage-ends-early/?utm_source=chatgpt.com
360125,top-5-most-trusted-crypto-exchanges-today-which-is-the-smart-choice-for-investors,https://coincu.com/top-5-most-trusted-crypto-exchanges-today-which-is-the-smart-choice-for-investors/,4,https://www.binance.com?utm_source=chatgpt.com
325275,rnt-the-token-for-real-estate-tokenization,https://coincu.com/rnt-the-token-for-real-estate-tokenization/,2,"https://www.economiadehoy.es/la-startup-reental-co-tokeniza-inmuebles-democratizando-la-inversion-en-el-sector-inmobiliario?utm_source=chatgpt.com"">economiadehoy.es</a>)</p"
362410,ozak-ai-partners-with-pyth-network-to-deliver-real-time-market-data-across-100-blockchains,https://coincu.com/ozak-ai-partners-with-pyth-network-to-deliver-real-time-market-data-across-100-blockchains/,2,"https://cointelegraph.com/market-releases/ozak-ai-presale-crosses-2m-with-strong-partnerships-global-roadshows-and-growing-community?utm_source=chatgpt.com"">SINT</a"
402054,basis-pro-is-live-base58labs-officially-launches-crypto-arbitrage-platform,https://coincu.com/basis-pro-is-live-base58labs-officially-launches-crypto-arbitrage-platform/,2,https://basis.pro/?utm_source=chatgpt.com
221329,top-5-best-ai-crypto-predictions,https://coincu.com/top-5-best-ai-crypto-predictions/,1,https://chatgpt.com/?oai-dm=1
256699,top-ai-trading-platforms-expert-rankings-reviews,https://coincu.com/top-ai-trading-platforms-expert-rankings-reviews/,1,https://chat.openai.com/domain_migration?next=https%3A%2F%2Fchatgpt.com%2F
