url,title,h1,content_bucket,status_code,indexability,word_count,meta_description_len,clicks,impressions,ctr,position,ref_domains,backlinks,in_live_sitemap,heuristic_action,confidence,priority,reason
https://coincu.com/2024-crypto-wallet-trends-insights-on-exodus-metamask-plus-wallet/,"How Has 2024 Been For the Most Trending Crypto Wallets Of All Time? Get the Latest Scoop on Exodus, MetaMask, & Plus Wallet","How Has 2024 Been For the Most Trending Crypto Wallets Of All Time? Get the Latest Scoop on Exodus, MetaMask, & Plus Wallet",evergreen,200,Indexable,2466,264,0,0,,,0,0,yes,delete,medium,P2,outdated_evergreen
https://coincu.com/5-igaming-trends-of-2024-and-how-to-tap-into-them-thanks-to-icoda/,5 iGaming Trends of 2024 and How to Tap Into Them Thanks to ICODA,5 iGaming Trends of 2024 and How to Tap Into Them Thanks to ICODA,evergreen,200,Indexable,2603,186,0,0,,,0,0,yes,delete,medium,P2,outdated_evergreen
https://coincu.com/akon-net-worth-how-rich-is-he-updated-2024/,Akon Net Worth: How Rich Is He? (Updated 2024),Akon Net Worth: How Rich Is He? (Updated 2024),evergreen,200,Indexable,4138,117,0,0,,,0,0,yes,delete,medium,P2,outdated_evergreen
https://coincu.com/arbitrum-ecosystem-top-5-projects/,Top 5 Best Arbitrum Projects That Can Explode In 2024,Top 5 Best Arbitrum Projects That Can Explode In 2024,evergreen,200,Indexable,3112,88,0,0,,,0,0,yes,delete,medium,P2,outdated_evergreen
https://coincu.com/best-ai-crypto-trading-bots-for-2024/,Best AI Crypto Trading Bots For 2024!,Best AI Crypto Trading Bots For 2024!,evergreen,200,Indexable,3539,136,0,0,,,0,0,yes,delete,medium,P2,outdated_evergreen
https://coincu.com/best-altcoins-to-buy-in-december-2024-qubetics-surpasses-9000-holders-cronos-fuels-cross-border-transactions-and-eos-innovates-supply-chain-solutions/,"Best Altcoins to Buy in December 2024 – Qubetics Surpasses 9,000 Holders, Cronos Fuels Cross-Border Transactions, and EOS Innovates Supply Chain Solutions","Best Altcoins to Buy in December 2024 – Qubetics Surpasses 9,000 Holders, Cronos Fuels Cross-Border Transactions, and EOS Innovates Supply Chain Solutions",evergreen,200,Indexable,2429,197,0,0,,,0,0,yes,delete,medium,P2,outdated_evergreen
https://coincu.com/best-bitcoin-etfs-to-buy/,Best Bitcoin ETFs To Buy In 2024,Best Bitcoin ETFs To Buy In 2024,evergreen,200,Indexable,4133,134,0,0,,,0,0,yes,delete,medium,P2,outdated_evergreen
https://coincu.com/best-cardano-staking-pool/,Best Cardano Staking Pools You Can Choose In 2024,Best Cardano Staking Pools You Can Choose In 2024,evergreen,200,Indexable,4526,96,0,0,,,0,0,yes,delete,medium,P2,outdated_evergreen
https://coincu.com/best-cex-token-in-2024/,Best CEX Token In 2024,Best CEX Token In 2024,evergreen,200,Indexable,4509,149,0,0,,,0,0,yes,delete,medium,P2,outdated_evergreen
https://coincu.com/best-coins-to-invest-in-this-weekend-qubetics-xrp-and-stellars-potential-to-explode-in-december-2024/,Is Qubetics the Next Big Thing? $7M Raised Alongside XRP's Utility and Stellar's Cross-Border Focus!,Is Qubetics the Next Big Thing? $7M Raised Alongside XRP’s Utility and Stellar’s Cross-Border Focus!,evergreen,200,Indexable,2689,148,0,0,,,0,0,yes,delete,medium,P2,outdated_evergreen
https://coincu.com/best-crypto-friendly-banks/,Best Crypto-friendly Banks 2024 You Should Know,Best Crypto-friendly Banks 2024 You Should Know,evergreen,200,Indexable,5210,138,0,0,,,0,0,yes,delete,medium,P2,outdated_evergreen
https://coincu.com/best-crypto-telegram-channels/,Best Crypto Telegram Channels You Should Be Watching in 2024,Best Crypto Telegram Channels You Should Be Watching in 2024,evergreen,200,Indexable,4693,157,0,0,,,0,0,yes,delete,medium,P2,outdated_evergreen
https://coincu.com/best-crypto-to-invest-arctic-pablo-book-of-meme-turbo/,"Arctic Pablo Coin Is the Best Crypto to Invest in 2024, While Book of Meme and Turbo Breaks Barriers With High Returns","Arctic Pablo Coin Is the Best Crypto to Invest in 2024, While Book of Meme and Turbo Breaks Barriers With High Returns",evergreen,200,Indexable,2598,147,0,0,,,0,0,yes,delete,medium,P2,outdated_evergreen
https://coincu.com/best-crypto-wallet/,Ultimate Guide To Choosing The Best Crypto Wallet In 2024,Ultimate Guide To Choosing The Best Crypto Wallet In 2024,evergreen,200,Indexable,5051,170,0,0,,,0,0,yes,delete,medium,P2,outdated_evergreen
https://coincu.com/best-gamefi-projects-to-list-on-binance-2024/,Best GameFi Projects With Potential To List On Binance 2024,Best GameFi Projects With Potential To List On Binance 2024,evergreen,200,Indexable,3196,115,0,0,,,0,0,yes,delete,medium,P2,outdated_evergreen
https://coincu.com/best-meme-coins-to-buy-in-december-2024-for-high-rois-btfd-coin-cat-in-a-dogs-world-and-just-a-chill-guy-are-on-fire/,"Best Meme Coins to Buy in December 2024 for High ROIs: BTFD Coin, Cat in a Dog's World, and Just a Chill Guy Are on Fire","Best Meme Coins to Buy in December 2024 for High ROIs: BTFD Coin, Cat in a Dog’s World, and Just a Chill Guy Are on Fire",evergreen,200,Indexable,2532,149,0,0,,,0,0,yes,delete,medium,P2,outdated_evergreen
https://coincu.com/best-meme-coins-to-invest-in-december-2024-btfd-coin-soars/,"Best Meme Coins to Invest in December 2024: BTFD Coin Raises $4.2M, Book of Meme And Snek Double Digit Drop","Best Meme Coins to Invest in December 2024: BTFD Coin Raises $4.2M, Book of Meme And Snek Double Digit Drop",evergreen,200,Indexable,2845,140,0,0,,,0,0,yes,delete,medium,P2,outdated_evergreen
https://coincu.com/best-new-meme-coins-to-buy-in-december-2024-btfd-coin-baby-doge-and-brett/,Best New Meme Coins to Buy in December 2024: BTFD Coin’s Record-Breaking Presale Momentum Inspires Baby Doge Coin and Brett,Best New Meme Coins to Buy in December 2024: BTFD Coin’s Record-Breaking Presale Momentum Inspires Baby Doge Coin and Brett,evergreen,200,Indexable,2895,161,0,0,,,0,0,yes,delete,medium,P2,outdated_evergreen
https://coincu.com/best-no-kyc-crypto-exchanges-in-2024/,Best No-KYC Crypto Exchanges In 2024,Best No-KYC Crypto Exchanges In 2024,evergreen,200,Indexable,4580,163,0,0,,,0,0,yes,delete,medium,P2,outdated_evergreen
https://coincu.com/best-real-world-assets-tokens-to-watch-in-2024/,Best Real World Assets Tokens To Watch in 2024!,Best Real World Assets Tokens To Watch in 2024!,evergreen,200,Indexable,3875,233,0,0,,,0,0,yes,delete,medium,P2,outdated_evergreen
https://coincu.com/best-solana-nft-marketplaces/,Best Solana NFT Marketplaces In 2024 You Should Know,Best Solana NFT Marketplaces In 2024 You Should Know,evergreen,200,Indexable,4009,170,0,0,,,0,0,yes,delete,medium,P2,outdated_evergreen
https://coincu.com/binance-will-stop-supporting-busd-in-2024/,Binance Will Stop Supporting BUSD In 2024,Binance Will Stop Supporting BUSD In 2024,evergreen,200,Indexable,1928,137,0,0,,,0,0,yes,delete,medium,P2,outdated_evergreen
https://coincu.com/bitcoin-code-review-2023-trading-bots/,Bitcoin Code Review 2023: The Rage Of Trading Bots Has Just Begun!,Bitcoin Code Review 2023: The Rage Of Trading Bots Has Just Begun!,evergreen,200,Indexable,2885,204,0,0,,,0,0,yes,delete,medium,P2,outdated_evergreen
https://coincu.com/bitcoin-price-prediction-2024-90000-value-expect/,"Bitcoin Price Prediction 2024: $90,000 Value Expected By Bernstein","Bitcoin Price Prediction 2024: $90,000 Value Expected By Bernstein",evergreen,200,Indexable,2136,151,0,0,,,0,0,yes,delete,medium,P2,outdated_evergreen
