url,title,h1,content_bucket,status_code,indexability,word_count,meta_description_len,clicks,impressions,ctr,position,ref_domains,backlinks,in_live_sitemap,heuristic_action,confidence,priority,reason
https://coincu.com/binance-support-trading-cyber-seion-aug-15/,Binance Will Support Trading For CyberConnect (CYBER) And Sei (SEI) On Aug 15,Binance Will Support Trading For CyberConnect (CYBER) And Sei (SEI) On Aug 15,news,200,Indexable,1996,116,0,0,,,0,0,yes,delete,high,P1,no_signal
https://coincu.com/binance-supports-network-upgrades/,Binance Supports Optimism and Metal DAO Network Upgrades,Binance Supports Optimism and Metal DAO Network Upgrades,news,200,Indexable,2068,100,0,0,,,0,0,yes,delete,high,P1,no_signal
https://coincu.com/binance-supports-terra-luna-network-upgrade/,Binance Supports Terra (LUNA) Network Upgrade On July 18: Report,Binance Supports Terra (LUNA) Network Upgrade On July 18: Report,news,200,Indexable,2144,187,0,0,,,0,0,yes,delete,high,P1,no_signal
https://coincu.com/binance-suspends-inj-deposits-upgrade/,Binance Suspends INJ Deposits for Network Upgrade,Binance Suspends INJ Deposits for Network Upgrade,news,200,Indexable,2102,150,0,0,,,0,0,yes,delete,high,P1,no_signal
https://coincu.com/binance-suspicious-transactions-detected/,Binance Suspicious Transactions Detected With $2.4 Billion in Crypto Scams,Binance Suspicious Transactions Detected With $2.4 Billion in Crypto Scams,news,200,Indexable,2079,125,0,0,,,0,0,yes,delete,high,P1,no_signal
https://coincu.com/binance-swaps-1-25-billion-usdt-eth/,Binance Swaps 1.25 Billion USDT-TRX For USDT-ETH To Ensure Stablecoin Liquidity,Binance Swaps 1.25 Billion USDT-TRX For USDT-ETH To Ensure Stablecoin Liquidity,news,200,Indexable,2207,246,0,0,,,0,0,yes,delete,high,P1,no_signal
https://coincu.com/binance-takeover-indonesian-tokocrypt/,Binance Completes Takeover Of Indonesian Exchange Tokocrypt,Binance Completes Takeover Of Indonesian Exchange Tokocrypt,news,200,Indexable,1919,154,0,0,,,0,0,yes,delete,high,P1,no_signal
https://coincu.com/binance-teams-up-with-fc-shakhtar-fanverse/,Binance Teams Up With FC Shakhtar To Launch Revolutionary Fanverse,Binance Teams Up With FC Shakhtar To Launch Revolutionary Fanverse,news,200,Indexable,2133,124,0,0,,,0,0,yes,delete,high,P1,no_signal
https://coincu.com/binance-technical-issue-is-now-fixed/,"Binance Technical Issue Is Now Fixed, All Crypto Withdrawals Are Back","Binance Technical Issue Is Now Fixed, All Crypto Withdrawals Are Back",news,200,Indexable,2112,105,0,0,,,0,0,yes,delete,high,P1,no_signal
https://coincu.com/binance-temporarily-suspends-alpha-tokenized-securities-trading-service/,Binance Suspends Alpha Tokenized Securities Trading During Third-Party Maintenance,Binance Suspends Alpha Tokenized Securities Trading During Third-Party Maintenance,news,200,Indexable,2493,159,0,0,,,0,0,yes,delete,high,P1,no_signal
https://coincu.com/binance-terminates-sponsorship-with-argentina/,Binance Terminates Sponsorship Deal With Argentina Amid Falling Profit,Binance Terminates Sponsorship Deal With Argentina Amid Falling Profit,press_release_like,200,Indexable,2357,150,0,0,,,0,0,yes,delete,high,P1,event_pr_signal
https://coincu.com/binance-terrorism-for-israeli-accounts/,Binance Complying With Anti-Money Laundering And Terrorism For Israel Accounts,Binance Complying With Anti-Money Laundering And Terrorism For Israel Accounts,news,200,Indexable,2226,135,0,0,,,0,0,yes,delete,high,P1,no_signal
https://coincu.com/binance-thai-exchange-launch-richest-collab/,Binance Triumphs: Exclusive Thai Exchange Launch with Second-Richest Tycoon's Collaboration,Binance Triumphs: Exclusive Thai Exchange Launch with Second-Richest Tycoon’s Collaboration,news,200,Indexable,2113,73,0,0,,,0,0,yes,delete,high,P1,no_signal
https://coincu.com/binance-to-allow-eth-2-0/,Binance To Allow ETH 2.0 Staking Withdrawals After Shapella Upgrade,Binance To Allow ETH 2.0 Staking Withdrawals After Shapella Upgrade,news,200,Indexable,2164,129,0,0,,,0,0,yes,delete,high,P1,no_signal
https://coincu.com/binance-to-boost-support-for-pepe/,Binance To Boost Support For PEPE And FLOKI Amid The Big Boom In Memecoins,Binance To Boost Support For PEPE And FLOKI Amid The Big Boom In Memecoins,news,200,Indexable,2321,89,0,0,,,0,0,yes,delete,high,P1,no_signal
https://coincu.com/binance-to-delist-qlc-nebl-and-auto/,"Binance To Delist QLC, NEBL, And AUTO On April 18th","Binance To Delist QLC, NEBL, And AUTO On April 18th",news,200,Indexable,2104,140,0,0,,,0,0,yes,delete,high,P1,no_signal
https://coincu.com/binance-to-launch-georgia-blockchain-hub/,Binance To Launch Georgia Blockchain Hub To Boost Crypto Industry,Binance To Launch Georgia Blockchain Hub To Boost Crypto Industry,news,200,Indexable,2136,164,0,0,,,0,0,yes,delete,high,P1,no_signal
https://coincu.com/binance-to-launch-sui-sui-token-as-33rd/,Binance To Launch Sui (SUI Token) As 33rd Project On Launchpool,Binance To Launch Sui (SUI Token) As 33rd Project On Launchpool,news,200,Indexable,2123,116,0,0,,,0,0,yes,delete,high,P1,no_signal
https://coincu.com/binance-to-launch-the-31st-launchpad/,"Binance To Launch The 31st Launchpad Project, BNB Surged More Than 5%","Binance To Launch The 31st Launchpad Project, BNB Surged More Than 5%",news,200,Indexable,2130,135,0,0,,,0,0,yes,delete,high,P1,no_signal
https://coincu.com/binance-to-list-arbitrum-arb-on-march-23/,"Binance To List Arbitrum (ARB) On March 23, New Trading Pairs: ARB/BTC, ARB/USDT","Binance To List Arbitrum (ARB) On March 23, New Trading Pairs: ARB/BTC, ARB/USDT",news,200,Indexable,2116,316,0,0,,,0,0,yes,delete,high,P1,no_signal
https://coincu.com/binance-to-list-magic/,Binance To List Magic (MAGIC) In the Innovation Zone,Binance To List Magic (MAGIC) In the Innovation Zone,news,200,Indexable,1804,155,0,0,,,0,0,yes,delete,high,P1,no_signal
