Source URL,Broken Image Count,Malformed Image Count,Decision,Why,GSC Clicks,GSC Impressions,Backlinks,Ref Domains,Backlink Response,Stale Score,Evergreen Score,Sample Broken Images
https://coincu.com/crypto-reset-time-is-important-for-traders/,3,0,fix_keep,Strong performance or backlink signal; keep the page and fix the broken images.,4,955,0,0,,0,0,https://coincu.com/wp-content/uploads/2022/07/Understanding-Crypto-Reset-Time-Is-Important-For-Traders-1024x576.png | https://coincu.com/wp-content/uploads/2022/07/Understanding-Crypto-Reset-Time-Is-Important-For-Traders-5-768x1024.jpg | https://coincu.com/wp-content/uploads/2022/07/Understanding-Crypto-Reset-Time-Is-Important-For-Traders-6-1024x576.jpg
https://coincu.com/top-bitcoin-gambling-sites/,2,2,fix_keep,Strong performance or backlink signal; keep the page and fix the broken images.,0,0,321,279,301,0,1,https://coincu.com/wp-content/uploads/2023/10/so5.pngon | https://coincu.com/wp-content/uploads/2023/10/so6on
https://coincu.com/he-yi-co-founder-binance/,6,0,fix_keep,Strong performance or backlink signal; keep the page and fix the broken images.,0,0,24,20,301,0,0,https://coincu.com/wp-content/uploads/2022/07/image-1261-1024x683.png | https://coincu.com/wp-content/uploads/2022/07/image-1262.png | https://coincu.com/wp-content/uploads/2022/07/image-1265.png | https://coincu.com/wp-content/uploads/2022/07/image-1266.png | https://coincu.com/wp-content/uploads/2022/07/image-1267.png
https://coincu.com/xtcom-reputable-cryptocurrency-exchange/,10,0,fix_keep,Strong performance or backlink signal; keep the page and fix the broken images.,0,0,21,5,301,0,0,https://coincu.com/wp-content/uploads/2022/12/image-2316.png | https://coincu.com/wp-content/uploads/2022/12/image-2317.png | https://coincu.com/wp-content/uploads/2022/12/image-2318.png | https://coincu.com/wp-content/uploads/2022/12/image-2319.png | https://coincu.com/wp-content/uploads/2022/12/image-2320.png
https://coincu.com/charles-hoskinson-defi-wars/,4,0,fix_keep,Strong performance or backlink signal; keep the page and fix the broken images.,0,0,2,2,301,0,0,https://coincu.com/wp-content/uploads/2022/11/image-2126-1024x561.png | https://coincu.com/wp-content/uploads/2022/11/image-2126.png | https://coincu.com/wp-content/uploads/2022/11/image-2127-1024x572.png | https://coincu.com/wp-content/uploads/2022/11/image-2127.png
https://coincu.com/nikolai-muchgian-makerdaos-drowned/,4,0,fix_keep,Strong performance or backlink signal; keep the page and fix the broken images.,0,0,41,2,301,0,0,https://coincu.com/wp-content/uploads/2022/11/image-32-1024x500.png | https://coincu.com/wp-content/uploads/2022/11/image-32.png | https://coincu.com/wp-content/uploads/2022/11/image-33-1024x675.png | https://coincu.com/wp-content/uploads/2022/11/image-33.png
https://coincu.com/paxful-notify-users-bitcoin-self-escrow/,4,0,fix_keep,Strong performance or backlink signal; keep the page and fix the broken images.,0,0,6,2,301,0,0,https://coincu.com/wp-content/uploads/2022/12/image-842-1024x531.png | https://coincu.com/wp-content/uploads/2022/12/image-842.png | https://coincu.com/wp-content/uploads/2022/12/image-843-1024x538.png | https://coincu.com/wp-content/uploads/2022/12/image-843.png
https://coincu.com/cambodia-gets-binance-help-with-crypto/,3,0,fix_keep,Strong performance or backlink signal; keep the page and fix the broken images.,0,0,2,2,301,0,0,https://coincu.com/wp-content/uploads/2022/07/image_2022-07-05_194336808-1024x802.png | https://coincu.com/wp-content/uploads/2022/07/image_2022-07-05_194336808.png | https://coincu.com/wp-content/uploads/2022/07/image_2022-07-05_194422013.png
https://coincu.com/three-arrows-capital-refusal-asset-recovery/,3,0,fix_keep,Strong performance or backlink signal; keep the page and fix the broken images.,0,0,2,2,301,0,0,https://coincu.com/wp-content/uploads/2022/12/image-295-1024x682.png | https://coincu.com/wp-content/uploads/2022/12/image-296-1024x553.png | https://coincu.com/wp-content/uploads/2022/12/image-296.png
https://coincu.com/decentraland-land-owners-virtual-rental/,2,0,fix_keep,Strong performance or backlink signal; keep the page and fix the broken images.,0,0,3,2,301,0,0,https://coincu.com/wp-content/uploads/2022/12/background-v3@1x-1024x594.jpg | https://coincu.com/wp-content/uploads/2022/12/background-v3@1x.jpg
